,ANN Call Train,ANN Put Train,ANN Call Test,ANN Put Test
"(240n, no v)",37.6142,27.8842,31.3774,34.1328
"(800n, no v)",17.7758,13.5554,22.5120,30.3429
"(1500n, no v)",18.5787,25.6823,26.4042,31.3940
"(3600n, no v)",20.2407,21.4772,24.1230,29.4133
"(6400n, no v)",17.2055,22.9287,25.7783,41.5354
"(7800n, no v)",15.8417,19.2364,29.6708,27.7784
"(9550n, no v)",11.2190,19.5993,26.2121,28.2232
"(11300n, no v)",14.8033,12.3975,27.6117,26.4170
"(13400n, no v)",12.2437,23.3648,25.9237,23.7933
"(240n, with 21d v)",8.4710,8.5382,29.7428,27.1495
"(800n, with 21d v)",1.7109,0.9570,20.4792,23.4541
"(1500n, with 21d v)",8.2638,0.6478,20.7125,22.9023
"(3600n, with 21d v)",0.8980,0.6326,21.0606,22.5814
"(6400n, with 21d v)",0.8740,8.1155,20.8718,23.9827
"(7800n, with 21d v)",0.8629,1.7785,21.1668,22.8098
"(9550n, with 21d v)",1.2864,0.8939,20.9223,22.2767
"(11300n, with 21d v)",2.0671,2.6831,20.5479,21.7808
"(13400n, with 21d v)",1.2257,7.1596,20.3962,21.2256
