,Call Train,Put Train,Call Test,Put Test,Mean
"(3600, no v - Adam)",0.2132,0.2033,0.2613,0.2819,0.2399
"(3600, with 3d v - Adam)",0.0071,0.0085,0.2339,0.2524,0.1255
"(3600, with 9d v - Adam)",0.0089,0.0102,0.2353,0.2184,0.1182
"(3600, with 14d v - Adam)",0.0057,0.0139,0.2114,0.2259,0.1142
"(3600, with 21d v - Adam)",0.0102,0.0076,0.2196,0.2199,0.1143
"(3600, with 30d v - Adam)",0.0108,0.0084,0.2212,0.2263,0.1167
"(3600, with 60d v - Adam)",0.0143,0.0106,0.2173,0.2148,0.1142
"(3600, with 90d v - Adam)",0.0405,0.0068,0.2245,0.2281,0.1250
"(3600, no v - SGD)",0.2717,0.2376,0.2976,0.2734,0.2701
"(3600, with 3d v - SGD)",0.0436,0.0590,0.2428,0.2456,0.1477
"(3600, with 9d v - SGD)",0.0336,0.0290,0.2358,0.2211,0.1299
"(3600, with 14d v - SGD)",0.0335,0.0322,0.2339,0.2162,0.1290
"(3600, with 21d v - SGD)",0.0309,0.0285,0.2131,0.2131,0.1214
"(3600, with 30d v - SGD)",0.0449,0.0317,0.2424,0.2431,0.1405
"(3600, with 60d v - SGD)",0.0350,0.0458,0.2395,0.2230,0.1358
"(3600, with 90d v - SGD)",0.0815,0.0620,0.2430,0.2172,0.1509
