,Call Train,Put Train,Call Test,Put Test,Mean
"(3600, no v - Adam)",20.2407,21.4772,24.1230,29.4133,23.8135
"(3600, with 3d v - Adam)",0.7289,0.7567,23.5877,28.8648,13.4845
"(3600, with 9d v - Adam)",0.8082,0.8522,22.3352,24.7021,12.1744
"(3600, with 14d v - Adam)",0.4721,1.3452,19.8985,25.1178,11.7084
"(3600, with 21d v - Adam)",0.8980,0.6326,21.0606,22.5814,11.2932
"(3600, with 30d v - Adam)",0.9450,0.8113,21.1704,23.5886,11.6288
"(3600, with 60d v - Adam)",1.2324,1.0357,19.6782,20.5442,10.6226
"(3600, with 90d v - Adam)",4.4242,0.6001,21.0636,24.3274,12.6038
"(3600, no v - SGD)",31.6902,26.7032,35.1301,31.7442,31.3169
"(3600, with 3d v - SGD)",4.5944,6.2056,23.7299,28.0220,15.6380
"(3600, with 9d v - SGD)",3.5556,3.3370,21.5781,23.7325,13.0508
"(3600, with 14d v - SGD)",3.8311,3.6968,21.6383,23.3525,13.1297
"(3600, with 21d v - SGD)",3.4688,3.3283,20.2116,22.8628,12.4679
"(3600, with 30d v - SGD)",5.0721,3.6237,23.5345,26.7093,14.7349
"(3600, with 60d v - SGD)",4.0454,5.2767,21.2071,22.4091,13.2346
"(3600, with 90d v - SGD)",8.3298,6.8520,22.1271,22.6236,14.9831
