,ANN Call Train,ANN Put Train,ANN Call Test,ANN Put Test
"(240n, no v)",0.3606,0.2421,0.3122,0.2914
"(800n, no v)",0.1878,0.1312,0.2488,0.2838
"(1500n, no v)",0.1849,0.2421,0.2778,0.2783
"(3600n, no v)",0.2132,0.2033,0.2613,0.2819
"(6400n, no v)",0.1619,0.2082,0.2697,0.3499
"(7800n, no v)",0.1509,0.1808,0.2978,0.2648
"(9550n, no v)",0.1140,0.1909,0.2721,0.2638
"(11300n, no v)",0.1559,0.1246,0.2971,0.2632
"(13400n, no v)",0.1259,0.2310,0.2684,0.2318
"(240n, with 21d v)",0.0852,0.0780,0.3009,0.2697
"(800n, with 21d v)",0.0174,0.0100,0.2211,0.2187
"(1500n, with 21d v)",0.0897,0.0072,0.2234,0.2227
"(3600n, with 21d v)",0.0102,0.0076,0.2196,0.2199
"(6400n, with 21d v)",0.0097,0.0820,0.2151,0.2227
"(7800n, with 21d v)",0.0093,0.0171,0.2186,0.2172
"(9550n, with 21d v)",0.0134,0.0092,0.2153,0.2167
"(11300n, with 21d v)",0.0211,0.0277,0.2150,0.2168
"(13400n, with 21d v)",0.0118,0.0743,0.2112,0.2125
