,Call Train,Put Train,Call Test,Put Test,Mean
"(3600, no v - Adam)",14.7468,17.4150,21.3281,24.8700,19.5900
"(3600, with 3d v - Adam)",0.4911,0.7281,19.0917,22.2674,10.6446
"(3600, with 9d v - Adam)",0.6156,0.8737,19.2059,19.2678,9.9908
"(3600, with 14d v - Adam)",0.3943,1.1907,17.2551,19.9295,9.6924
"(3600, with 21d v - Adam)",0.7055,0.6510,17.9244,19.4002,9.6703
"(3600, with 30d v - Adam)",0.7470,0.7196,18.0550,19.9648,9.8716
"(3600, with 60d v - Adam)",0.9891,0.9080,17.7367,18.9502,9.6460
"(3600, with 90d v - Adam)",2.8013,0.5825,18.3244,20.1236,10.4580
"(3600, no v - SGD)",18.7932,20.3532,24.2910,24.1201,21.8894
"(3600, with 3d v - SGD)",3.0158,5.0540,19.8181,21.6675,12.3888
"(3600, with 9d v - SGD)",2.3241,2.4842,19.2467,19.5060,10.8903
"(3600, with 14d v - SGD)",2.3172,2.7583,19.0917,19.0737,10.8102
"(3600, with 21d v - SGD)",2.1373,2.4414,17.3939,18.8003,10.1932
"(3600, with 30d v - SGD)",3.1057,2.7155,19.7854,21.4469,11.7634
"(3600, with 60d v - SGD)",2.4209,3.9233,19.5487,19.6737,11.3917
"(3600, with 90d v - SGD)",5.6373,5.3110,19.8344,19.1620,12.4862
