,ANN Call Train,ANN Put Train,ANN Call Test,ANN Put Test
"(240n, no v)",0.3163,0.1090,0.2019,0.1523
"(800n, no v)",0.0744,0.0391,0.1218,0.1563
"(1500n, no v)",0.0774,0.1306,0.1565,0.1467
"(3600n, no v)",0.1148,0.0844,0.1269,0.1529
"(6400n, no v)",0.0561,0.0958,0.1357,0.2252
"(7800n, no v)",0.0531,0.0719,0.1547,0.1464
"(9550n, no v)",0.0278,0.0758,0.1378,0.1348
"(11300n, no v)",0.0570,0.0354,0.1694,0.1448
"(13400n, no v)",0.0354,0.1235,0.1334,0.1226
"(240n, with 21d v)",0.0124,0.0104,0.1759,0.1473
"(800n, with 21d v)",0.0005,0.0002,0.1057,0.1039
"(1500n, with 21d v)",0.0160,0.0001,0.1086,0.1108
"(3600n, with 21d v)",0.0002,0.0002,0.1045,0.1096
"(6400n, with 21d v)",0.0002,0.0129,0.0992,0.1053
"(7800n, with 21d v)",0.0002,0.0006,0.0994,0.1071
"(9550n, with 21d v)",0.0003,0.0002,0.0970,0.1081
"(11300n, with 21d v)",0.0011,0.0014,0.0993,0.1088
"(13400n, with 21d v)",0.0003,0.0104,0.0955,0.1039
